Situação;Descrição;Código;"Família de Produto";"Código NCM";"Preço Unitário de Venda";"Estoque Físico";Reservado;"Estoque Disponível";Unidade;"Peso Líquido";"Peso Bruto";Altura;Largura;Profundidade;Marca;Modelo;"Dias de Garantia";"Dias de Crossdocking";"Cupom Fiscal (PDV)";Marketplace;"Tipo do Item (Bloco K)";"Origem da Mercadoria";"Preço Tabelado (Pauta)";"Produzido em Escala Relevante";"CNPJ Fabricante";Características;"Leadtime de Ressuprimento";Inclusão;"Última Alteração";"Incluído por";"Alterado por"
Inativo;"Produto Teste";teste001;;0000.00.00;,010000;,000000;,000000;,000000;"Unidade (UN)";,000;,000;,000;,000;,000;;;0;0;Sim;Não;"00 - Mercadoria para Revenda";;;;;;0;"2025-02-27 15:17:44";"2025-08-06 11:51:33";Integração;Guilherme
Ativo;"BONE HALLELUYA NUDE";PRD00769;BONE;6106.20.00;35,900000;50,000000;,000000;50,000000;"Unidade (UN)";,200;,265;6,000;6,000;10,000;"COMUNIDADE CATÓLICA SHALOM";HALLELUYA;0;0;Sim;Sim;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-15 17:33:29";"2026-07-15 17:42:17";Guilherme;Guilherme
Ativo;"BONE HALLELUYA PRETO";PRD00768;BONE;6106.20.00;35,900000;50,000000;,000000;50,000000;"Unidade (UN)";,200;,265;6,000;6,000;10,000;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Sim;Sim;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-15 17:32:37";"2026-07-15 17:41:38";Guilherme;Guilherme
Ativo;"CAMISA SUA CASA DESDE 1982 GG";PRD00767;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:11";"2026-07-03 10:15:11";Guilherme;Guilherme
Ativo;"CAMISA SUA CASA DESDE 1982 G";PRD00766;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:11";"2026-07-03 10:15:11";Guilherme;Guilherme
Ativo;"CAMISA SUA CASA DESDE 1982 M";PRD00765;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:10";"2026-07-03 10:15:10";Guilherme;Guilherme
Ativo;"CAMISA SUA CASA DESDE 1982 P";PRD00764;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:10";"2026-07-03 10:15:10";Guilherme;Guilherme
Ativo;"CAMISA SUA CASA DESDE 1982 PP";PRD00763;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:09";"2026-07-03 10:15:09";Guilherme;Guilherme
Ativo;"CAMISA GOLA POLO AZUL ROYAL LIVRARIA SHALOM PIQUET GG";PRD00762;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:09";"2026-07-03 10:15:09";Guilherme;Guilherme
Ativo;"CAMISA GOLA POLO AZUL ROYAL LIVRARIA SHALOM PIQUET G";PRD00761;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:08";"2026-07-03 10:15:09";Guilherme;Guilherme
Ativo;"CAMISA GOLA POLO AZUL ROYAL LIVRARIA SHALOM PIQUET M";PRD00760;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:08";"2026-07-03 10:15:08";Guilherme;Guilherme
Ativo;"CAMISA GOLA POLO AZUL ROYAL LIVRARIA SHALOM PIQUET P";PRD00759;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:07";"2026-07-03 10:15:08";Guilherme;Guilherme
Ativo;"CAMISA GOLA POLO AZUL ROYAL LIVRARIA SHALOM PIQUET PP";PRD00758;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:07";"2026-07-03 10:15:07";Guilherme;Guilherme
Ativo;"CAMISA SÃO JOAO PAULO II GG";PRD00757;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:07";"2026-07-03 10:15:07";Guilherme;Guilherme
Ativo;"CAMISA SÃO JOAO PAULO II G";PRD00756;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:06";"2026-07-03 10:15:06";Guilherme;Guilherme
Ativo;"CAMISA SÃO JOAO PAULO II M";PRD00755;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"VIRGEM MARIA";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:06";"2026-07-03 10:15:06";Guilherme;Guilherme
Ativo;"CAMISA SÃO JOAO PAULO II P";PRD00754;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";;0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:05";"2026-07-03 10:15:05";Guilherme;Guilherme
Ativo;"CAMISA SÃO JOAO PAULO II PP";PRD00753;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";;0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-07-03 10:15:05";"2026-07-03 10:15:05";Guilherme;Guilherme
